id	gender	name
6261	MALE	Charles Baxter (author)
6290	MALE	Christian Goldbach
6330	MALE	Clement Martyn Doke
6331	MALE	Carl Meinhof
6337	FEMALE	Carolyn Beug
6431	MALE	Charles Farrar Browne
6451	MALE	Charles Proteus Steinmetz
6452	MALE	Charles Martel
6456	MALE	Charles Edward Jones
6501	MALE	Columbanus
6532	FEMALE	Charlotte BrontÃ«
6533	MALE	Charles Williams (British writer)
6548	MALE	Claude Monet
6561	MALE	Columba
6569	MALE	Charles McCarry
6585	MALE	Constantin BrÃ¢ncuÈ™i
6586	MALE	Claus Sluter
6663	MALE	Clyde Tombaugh
6689	MALE	Christian of Oliva
6715	MALE	Chris Marker
6823	MALE	Constantine Kanaris
6824	MALE	Carl Sagan
6849	MALE	Cy Young
6852	MALE	Caligula
6859	MALE	Chiang Kai-shek
6878	MALE	Carlos Valderrama
6881	FEMALE	Cecilia Beaux
6928	FEMALE	Colette
6932	MALE	Charles Alston
6941	MALE	Colin Kapp
6942	FEMALE	Catherine of Aragon
6984	MALE	Colin Powell
6991	MALE	Cimabue
7015	MALE	Christiaan Barnard
7018	MALE	Caravaggio
7019	MALE	Jean-Baptiste-SimÃ©on Chardin
7033	FEMALE	Caitlin Clarke
7080	MALE	Christian Doppler
7104	MALE	Cotton Mather
7105	MALE	Cordwainer Smith
7119	MALE	William Kidd
7131	MALE	Charles Evers
7179	MALE	Cary Elwes
7180	MALE	Chris Sarandon
7182	MALE	Christopher Guest
7183	FEMALE	Carol Kane
7213	MALE	Claudius Aelianus
7235	MALE	Constantine II of Scotland
7236	MALE	Constantine the Great
7248	MALE	Corrado Gini
7342	MALE	Clement of Alexandria
7345	MALE	Carl Barks
7362	MALE	Casimir III the Great
7383	MALE	Cyril of Alexandria
7387	MALE	Cyril of Jerusalem
7400	MALE	Chris Cunningham
7426	MALE	Charles I of England
7434	MALE	Camille Pissarro
7437	MALE	Carlo Collodi
7462	MALE	Clive Anderson
7471	FEMALE	Catherine of Siena
7472	MALE	Charles Lyell
7504	MALE	Cesare Borgia
7514	FEMALE	Christine Lavin
7516	MALE	Cem Karaca
7525	MALE	Charles Evans Hughes
7550	MALE	Craig Venter
7554	MALE	Carl Rogers
7573	MALE	Clive Barker
7585	MALE	Chaim Topol
7611	FEMALE	Crystal Eastman
7612	MALE	Christopher Alexander
7628	FEMALE	Christine de Pizan
7635	MALE	Charles F. Hockett
7642	MALE	Clarence Brown
7668	MALE	Charles Mingus
7672	MALE	Chuck Jones
7716	MALE	Cyril M. Kornbluth
7721	FEMALE	C. L. Moore
7728	MALE	Claude Piron
7740	MALE	Charles C. Krulak
7756	MALE	Chet Atkins
7775	FEMALE	Clara Petacci
7787	MALE	Claude Louis Berthollet
7796	MALE	Claude Auchinleck
7797	FEMALE	Camilla Hall
7824	MALE	Colin Maclaurin
7833	MALE	The Amazing Criswell
7886	FEMALE	Drew Barrymore
7888	MALE	D. W. Griffith
7891	MALE	David Lynch
7892	MALE	David Cronenberg
7893	MALE	Dale Earnhardt
7925	MALE	David Hume
7928	MALE	Dalton Trumbo
7935	MALE	David D. Friedman
7994	MALE	David Thompson (explorer)
8079	MALE	David Fincher
8081	MALE	Douglas Engelbart
8083	MALE	Dr. Dre
8091	MALE	Douglas Adams
8095	MALE	Donald Knuth
8099	MALE	Dave Grohl
8138	MALE	Dino Zoff
8169	MALE	Dante Alighieri
8176	MALE	Dave Brubeck
8182	MALE	Dwight D. Eisenhower
8193	MALE	Daniel Defoe
8197	MALE	Desmond Morris
8199	MALE	Denis Diderot
8205	MALE	Deng Xiaoping
8211	MALE	Democritus
8218	MALE	Dennis Ritchie
8299	MALE	Domenico Alberti
8300	FEMALE	Doris Day
8302	MALE	David Hilbert
8340	MALE	David Letterman
8341	MALE	Delroy Lindo
8343	MALE	David Janssen
8351	MALE	David Mamet
8362	MALE	Diego de Almagro
8397	MALE	Danny Elfman
8401	MALE	David Hayes Agnew
8425	MALE	Dwight Schultz
8432	MALE	Dave Barry
8436	MALE	David Angell
8437	MALE	Diedrich Hermann Westermann
8459	MALE	Dwight L. Moody
8470	MALE	David Ricardo
8474	MALE	Arthur Wellesley, 1st Duke of Wellington
8485	MALE	Diego Maradona
8487	MALE	David Brewster
8520	MALE	Dmitri Shostakovich
8605	MALE	Stephen Donaldson (activist)
8617	MALE	Daniel Jones (phonetician)
8618	MALE	David Beckham
8623	FEMALE	Dava Sobel
8629	MALE	Donald Rumsfeld
8662	MALE	David Rice Atchison
8663	MALE	Daniel Gabriel Fahrenheit
8668	MALE	Dan Bricklin
8713	MALE	Dave Winer
8716	FEMALE	Dolly Parton
8718	MALE	Dirk Benedict
8729	MALE	David Deutsch
8756	MALE	Daniel Dennett
8758	MALE	Douglas Hofstadter
8774	MALE	Desi Arnaz
8778	MALE	Daniel Ortega
8781	FEMALE	Dorothy Parker
8783	MALE	Dylan Thomas
8786	MALE	David Bowie
8791	MALE	Dennis Hopper
8798	FEMALE	Dobrawa of Bohemia
8799	MALE	D. B. Cooper
8833	MALE	Donald Dewar
8837	MALE	David Beatty, 1st Earl Beatty
8855	MALE	Dr. Seuss
8875	MALE	Dan Simmons
8876	MALE	Denis Auguste Affre
8878	MALE	Denis Leary
8885	MALE	David Abercromby
8910	MALE	Dean Koontz
8927	MALE	Don Rosa
8930	MALE	Dziga Vertov
8940	MALE	David Huffman
8945	MALE	Derek Walcott
8953	MALE	Dana Rohrabacher
8987	MALE	Don McLean
9002	MALE	Danny Kaye
9003	MALE	Dan DeCarlo
9039	MALE	Django Reinhardt
9048	FEMALE	Dana Plato
9072	MALE	Jacques-Louis David
9099	MALE	Dave Thomas (businessman)
9110	MALE	Diophantus
9118	MALE	Duke Kahanamoku
9128	MALE	Damon Runyon
9132	MALE	Dale Chihuly
9133	MALE	Dean Kamen
9141	MALE	Davy Jones (musician)
9156	FEMALE	Dolores Fuller
9164	MALE	Donald Campbell
9209	MALE	Edward Bellamy
9238	MALE	Ernst Mayr
9288	MALE	Elvis Presley
9299	MALE	Erasmus Darwin
9321	MALE	Edward Sapir
9332	MALE	Errol Morris
9333	MALE	Ethan Allen
9428	MALE	Ernest Hemingway
9447	MALE	Egyptian Lover
9469	MALE	Eric S. Raymond
9480	MALE	Edmund Stoiber
9482	FEMALE	Enya
9505	MALE	Elias Canetti
9506	MALE	Edward Jenner
9514	MALE	Edvard Grieg
9516	MALE	Erwin Rommel
9518	MALE	Edmund Husserl
9536	MALE	Edmund Spenser
9549	MALE	Edgar Allan Poe
9553	MALE	Empedocles
9574	MALE	Eric Hoffer
9591	MALE	E. E. Cummings
9603	MALE	Ernest Rutherford
9615	MALE	Ã‰douard Manet
9627	FEMALE	Elizabeth Barrett Browning
9657	MALE	Edgar Rice Burroughs
9658	MALE	EugÃ¨ne Viollet-le-Duc
9668	MALE	Ernst Haeckel
9674	MALE	Einhard
9679	MALE	Prince Eugene of Savoy
9683	MALE	Emanuel Leutze
9684	MALE	Erasmus Alberus
9692	MALE	Eusebius Amort
9695	FEMALE	Elizabeth Garrett Anderson
9700	MALE	Edwin Austin Abbey
9713	MALE	Ernest Thayer
9723	MALE	Edward Waring
9724	MALE	Eden Phillpotts
9732	MALE	Eli Whitney
